Садовничий Виктор Антонович, президент Российского Союза ректоров, ректор Московского государственного университета имени М.В. Ломоносова,
Шевченко Владимир Игоревич, ректор Национального исследовательского ядерного университета "МИФИ",
Шевченко Инна Константиновна, ректор Южного федерального университета,
Шевчик Андрей Павлович, ректор Санкт-Петербургского государственного технологического института (технического университета),
Шелудько Виктор Николаевич, ректор Санкт-Петербургского государственного электротехнического университета ЛЭТИ имени В.И. Ульянова (Ленина),
Шиянов Сергей Евгеньевич, ректор Северо-Кавказского социального института,
Шлык Сергей Владимирович, ректор Ростовского государственного медицинского университета Министерства здравоохранения Российской Федерации,
Шпырня Игорь Валентинович, начальник Краснодарского высшего военного училища имени генерала армии С.М.Штеменко,
Шумакова Оксана Викторовна, ректор Омского государственного аграрного университета имени П.А. Столыпина,
Шунков Александр Викторович, ректор Кемеровского государственного университета культуры и искусств,
Щекина Вера Витальевна, ректор Благовещенского государственного педагогического университета,
Эскиндаров Михаил Абдурахманович, президент Финансового университета при Правительстве Российской Федерации,
Юнгблюд Валерий Теодорович, президент Вятского государственного университета,
Юрьев Алексей Борисович, ректор Сибирского государственного индустриального университета,
Якимович Виктор Степанович, ректор Волгоградской государственной академии физической культуры,
Яковлев Алексей Николаевич, ректор Кузбасского государственного технического университета имени Т.Ф. Горбачева,
Янин Владимир Леонидович, ректор Ханты-Мансийской государственной медицинской академии,
Ястребов Олег Александрович, ректор Российского университета дружбы народов.
